companies,probs
acer,"{43: 0.2222222222222222, 44: 0.18518518518518517}"
action,{19: 0.06944444444444445}
admitad,"{16: 0.5882352941176471, 25: 0.35294117647058826}"
aitarget,{56: 1.0}
badoo,{18: 0.09090909090909091}
bitbanker,{5: 1.0}
boomstarter,"{20: 0.16216216216216217, 11: 0.13513513513513514, 23: 0.13513513513513514}"
bright,"{44: 0.36363636363636365, 20: 0.18181818181818182}"
chatfuel,{28: 1.0}
cloudpayments,"{55: 0.5, 20: 0.5}"
coub,"{20: 0.1518987341772152, 11: 0.11392405063291139, 57: 0.10126582278481013}"
didi,"{16: 0.23076923076923078, 20: 0.15384615384615385}"
ebay,"{37: 0.21428571428571427, 52: 0.14285714285714285}"
epn,{34: 1.0}
eset,"{0: 0.14285714285714285, 49: 0.14285714285714285, 14: 0.14285714285714285}"
facebook,{51: 0.3551735322737593}
fbs,"{27: 0.25, 19: 0.25, 39: 0.25}"
fura,"{50: 0.2125, 12: 0.1125}"
geekbrains,{11: 1.0}
generations,"{7: 0.5555555555555556, 39: 0.3333333333333333, 14: 0.1111111111111111}"
gett,{16: 0.509090909090909}
globus,"{5: 0.25, 6: 0.25, 20: 0.25}"
heineken,"{20: 0.16666666666666666, 53: 0.16666666666666666, 37: 0.16666666666666666}"
honor,{44: 0.6990291262135923}
ibs,{5: 1.0}
infowatch,{11: 1.0}
intel,"{44: 0.31976744186046513, 43: 0.25290697674418605}"
involta,{50: 1.0}
ivi,"{56: 0.358974358974359, 0: 0.15384615384615385, 44: 0.10256410256410256}"
ivideon,"{55: 0.3333333333333333, 33: 0.3333333333333333, 22: 0.3333333333333333}"
jabra,"{23: 0.8571428571428571, 45: 0.14285714285714285}"
joom,"{0: 0.14285714285714285, 53: 0.14285714285714285, 18: 0.14285714285714285}"
kwork,"{20: 0.5, 9: 0.5}"
lamoda,"{56: 0.23529411764705882, 20: 0.23529411764705882, 42: 0.11764705882352941}"
leoni,{20: 1.0}
lingualeo,{55: 1.0}
luxoft,"{56: 0.5, 15: 0.5}"
mail,{0: 0.26282628262826285}
mail.ru,"{0: 0.30434782608695654, 40: 0.11956521739130435}"
meta,"{37: 0.25925925925925924, 42: 0.14814814814814814, 40: 0.1111111111111111}"
metro,{20: 0.08280254777070063}
microsoft,{43: 0.4163116250760803}
mindbox,"{31: 0.8571428571428571, 15: 0.14285714285714285}"
okko,"{14: 0.2230769230769231, 56: 0.15384615384615385, 1: 0.13076923076923078}"
oohdesk,{56: 1.0}
ozon,"{20: 0.2358490566037736, 9: 0.1320754716981132, 56: 0.12264150943396226}"
pixonic,"{42: 0.8, 56: 0.2}"
players,"{42: 0.4444444444444444, 0: 0.1111111111111111, 21: 0.1111111111111111}"
pyrus,{15: 1.0}
qiwi,"{9: 0.2553191489361702, 55: 0.1276595744680851}"
qlik,{33: 1.0}
revolut,"{58: 0.5, 37: 0.17647058823529413}"
