companies,commentsCount,hitsCount,likes
a1,28.847520661157024,3152.6545454545453,387.0082644628099
aaa,40.833333333333336,4496.9047619047615,193.66666666666666
abacus,32.333333333333336,3429.3333333333335,45.0
abbott,10.0,2669.0,21.666666666666668
abi,134.8,8116.0,69.4
abm,170.0,11828.5,91.5
abs,52.0,5255.333333333333,49.166666666666664
acceleration,27.5,2051.576923076923,533.2692307692307
accenture,82.0,4894.0,95.0
acer,52.26609442060086,3843.030042918455,338.6008583690987
acronis,49.55555555555556,4367.0,32.888888888888886
action,29.85981308411215,2918.3199137311285,468.58087706685836
actor,21.27777777777778,2708.796296296296,100.92592592592592
adapter,39.774193548387096,2259.451612903226,65.25806451612904
adguard,12.805555555555555,653.4722222222222,519.6111111111111
adidas,29.333333333333332,2903.753623188406,153.1014492753623
adjust,20.523809523809526,2615.5714285714284,153.28571428571428
admitad,3.736842105263158,288.94736842105266,52.578947368421055
adv,21.0,1183.3333333333333,34.666666666666664
advance,21.486486486486488,2486.436936936937,363.2852852852853
advanced,32.53811659192825,3447.5695067264573,151.95515695067266
advego,23.0,446.0,34.0
adventum,22.0,1022.0,22.0
aeon,33.190751445086704,3844.4797687861274,242.4277456647399
aero,57.73015873015873,3973.777777777778,172.14285714285714
aeterna,13.0,1025.2068965517242,275.7241379310345
affect,28.0,1853.3333333333333,31.666666666666668
aga,16.9,1278.6,230.2
agora,39.0,2122.2727272727275,634.7272727272727
ahead,16.07920792079208,2026.1287128712872,228.72277227722773
aic,13.166666666666666,664.75,43.583333333333336
aig,8.0,92.0,9.0
aigrind,0.0,48.0,0.0
airo,11.333333333333334,898.0,83.33333333333333
ais,13.142857142857142,2154.4285714285716,10.857142857142858
ait,39.46153846153846,3791.153846153846,592.0
alawar,25.440366972477065,2048.467889908257,92.77981651376147
alb,2.0,169.0,13.5
alconost,16.307692307692307,1138.820512820513,20.615384615384617
alcor,11.0,1089.0,6.0
alfred,33.40909090909091,1887.6363636363637,88.68181818181819
allcorrect,20.11111111111111,2089.3888888888887,32.55555555555556
allianz,14.0,545.0,17.0
alser,32.0,406.0,1.0
altair,25.38888888888889,2832.027777777778,245.52777777777777
alter,31.520833333333332,4291.291666666667,85.875
alterego,0.75,215.5,29.5
altima,30.0,8055.0,27.0
altspace,11.583333333333334,2010.75,72.58333333333333
alucard,19.8,3188.8,69.2
amai,4.5,560.5,19.0
amax,2.0,1938.5,10.0
amazon,45.151362984218075,4156.555236728838,166.1341463414634
ambience,30.75,1809.3125,118.75
amiga,20.62691131498471,2390.321100917431,200.22324159021406
amity,46.6,2026.8,44.8
ample,12.0,333.6666666666667,13.666666666666666
amt,23.428571428571427,2223.285714285714,21.285714285714285
an,24.87467018469657,2431.217678100264,255.3377308707124
ancor,6.0,137.0,1.5
andersen,18.137931034482758,2206.689655172414,337.2758620689655
angry,32.49285714285714,2967.0833333333335,264.07380952380953
ans,57.333333333333336,6621.0,5.0
antilatency,4.0,424.0,8.0
anvi,7.0,194.0,12.0
anvics,0.0,88.0,6.0
anytime,5.0,1320.5,23.0
apla,49.166666666666664,2587.6666666666665,35.0
aporia,5.5,1765.0,10.5
appache,5.0,678.0,12.0
apparat,0.0,47.5,3.0
appbooster,6.111111111111111,461.0,20.11111111111111
applovin,13.777777777777779,1171.7777777777778,17.0
appodeal,10.352941176470589,2826.8529411764707,17.823529411764707
approve,11.0,452.0,16.0
apptica,16.25,2495.75,17.625
aquarius,53.0,9605.75,163.25
ar,26.760563380281692,2412.080985915493,213.25704225352112
arkadia,171.0,10488.0,126.0
arkadium,1.5,1289.5,8.0
armi,0.0,0.0,0.0
arrival,30.977272727272727,5086.681818181818,255.70454545454547
arzamas,8.333333333333334,1184.0,52.666666666666664
asap,7.409090909090909,489.6818181818182,1165.465909090909
asd,25.5,1582.5,35.25
aska,111.0,23822.0,335.0
asp,22.571428571428573,1110.5714285714287,38.42857142857143
