,companies,commentsCount,hitsCount,likes
0,a1,28.84752066115702,3152.6545454545453,387.0082644628099
2,abacus,32.333333333333336,3429.333333333333,45.0
4,abi,134.8,8116.0,69.4
8,accenture,82.0,4894.0,95.0
9,acer,52.266094420600865,3843.0300429184554,338.6008583690987
10,acronis,49.555555555555564,4367.0,32.888888888888886
13,adapter,39.774193548387096,2259.451612903226,65.25806451612904
15,adidas,29.33333333333333,2903.753623188406,153.1014492753623
17,admitad,3.736842105263158,288.9473684210526,52.57894736842106
18,adv,21.0,1183.3333333333333,34.666666666666664
24,aero,57.73015873015873,3973.777777777778,172.14285714285714
28,agora,39.0,2122.2727272727275,634.7272727272727
34,ais,13.142857142857142,2154.428571428572,10.857142857142858
42,allianz,14.0,545.0,17.0
45,alter,31.52083333333333,4291.291666666667,85.875
47,altima,30.0,8055.0,27.0
48,altspace,11.583333333333336,2010.75,72.58333333333333
52,amazon,45.15136298421808,4156.555236728838,166.1341463414634
66,anytime,5.0,1320.5,23.0
82,arzamas,8.333333333333334,1184.0,52.66666666666666
93,atlantis,23.31,2695.66,208.91
97,attl,15.782608695652176,1251.2608695652175,962.0
100,author.today,5.5,708.1,19.85
103,avenue,16.369565217391305,2026.4565217391305,104.8913043478261
105,avid,24.0,2917.2,81.0
110,awg,31.0,2514.5,120.0
111,axel,12.372093023255816,1183.1627906976746,137.23255813953492
112,axon,47.375,2451.5,79.375
114,b9,21.826941607246102,2322.9105800732323,269.738485257275
115,background,9.5,1911.1904761904761,67.9047619047619
116,badoo,14.857142857142858,2223.714285714286,102.71428571428572
118,baza,201.54545454545453,13232.090909090908,137.0
119,bcc,3.391304347826087,85.02173913043478,1.6956521739130437
120,bcg,112.0,5002.333333333333,158.66666666666666
121,beau,70.14285714285714,6312.0,147.85714285714286
124,begun,8.0,449.0,25.0
130,betty,11.789473684210524,1679.1052631578948,51.68421052631579
131,binance,128.66666666666666,4842.333333333333,65.33333333333333
145,bookmate,3.2857142857142856,360.07142857142856,16.857142857142858
146,boomstarter,26.472222222222218,3639.416666666666,55.22222222222222
147,bork,0.5,148.5,12.5
149,bosch,10.6,3643.0,66.4
153,bp,61.72508591065292,2315.360824742268,258.2061855670103
158,brick,28.0,2525.114942528736,210.73563218390805
159,bright,32.0253164556962,2757.139240506329,263.30801687763716
160,broccoli,8.137931034482758,892.0344827586208,188.06896551724137
164,buro,58.5,3842.25,62.0
169,canon,42.68888888888889,4237.155555555555,76.08888888888889
173,cbs,28.764705882352942,5040.64705882353,216.11764705882354
187,chosen,39.77215189873418,3754.4556962025317,63.18987341772152
190,cisco,11.727272727272727,1635.5454545454545,108.9090909090909
191,citadel,26.9,3532.85,149.8
195,clc,6.363636363636362,1041.1818181818182,50.81818181818182
198,clipper,8.0,815.5,34.25
199,clos,18.75,5266.25,44.0
216,cortex,36.53389830508475,2376.4576271186443,110.33898305084746
218,coub,40.64,2259.88,191.26666666666668
227,crm,37.647058823529406,3523.7058823529414,545.6470588235294
232,cti,1.4,138.6,32.2
237,danone,162.0,20277.0,306.0
238,dapp,17.0,8840.0,19.0
241,dbi,29.0,894.0,3.0
249,deloitte,40.42105263157895,3456.2105263157896,75.89473684210526
251,denim,6.0,303.3333333333333,15.666666666666664
253,depositphotos,8.736842105263158,627.8421052631579,506.0
263,dialog,43.77777777777778,17662.777777777777,54.0
