companies,neutral,negative,positive
a1,0.22667189142400518,0.060083750578343545,0.029908064873788096
aaa,0.24347889358317767,0.04887525190190042,0.021336053754361685
abacus,0.38159043847203805,0.14083721123696938,0.05152435976735967
abbott,0.42775399600848174,0.09181292679829474,0.011305322413479401
abi,0.6407390169092358,0.11830447179949863,0.08728621723399368
abm,0.5905960816730801,0.1782591710947479,0.056287820883929904
abs,0.5976250578920829,0.10925246576069085,0.09312630400915452
acceleration,0.15370738574903828,0.0409999641913317,0.01461221592806203
accenture,0.6043975842304719,0.2326682482917721,0.0183016800751479
acer,0.3121726823679984,0.07508359817703482,0.019062225844137148
acronis,0.361270068898548,0.08612937523121621,0.02422160628950541
action,0.24196581285887264,0.06039143245119161,0.03318930768674693
actor,0.33696150148276516,0.0850756967369123,0.04917454988303577
adapter,0.34580418275792296,0.09089300722141858,0.029254338146371024
adguard,0.11958381474747187,0.02010183487671165,0.006193541691179492
adidas,0.21602305898346355,0.05395057111496713,0.025771599064363493
adjust,0.23212491485039846,0.054756884978540046,0.003283829636207629
admitad,0.10803494920886385,0.03353957335514961,0.003022539134702321
adv,0.5136586982214782,0.16472715757323322,0.0999731121230441
advance,0.1671367530914682,0.04313218772208674,0.025393576075776893
advanced,0.24268902464600794,0.06066744249671111,0.02355358757266238
advego,0.4002621649276642,0.2417954649953615,0.1809190674906685
adventum,0.7555970191955567,0.1743040484189987,0.0065810590982437
aeon,0.2339648187646264,0.05835185645768042,0.029857451149101075
aero,0.33976109819261235,0.07243566113212316,0.024167957955987793
aeterna,0.18275297668812035,0.02716397483857668,0.036939440786802266
affect,0.29120060352263627,0.11943557499884912,0.04308744147097989
aga,0.11270909054169001,0.03386727072166089,0.01208926758196097
agora,0.12456508476261043,0.033173646034917174,0.02086015996313243
ahead,0.1611218115765784,0.038098048089217296,0.0209057363015901
aic,0.3526339353680037,0.08642681701633172,0.02938463296508624
aig,0.6988625334841865,0.0015599247999489,0.1471612879208156
aigrind,0.0,0.0,0.0
airo,0.22052609215500532,0.0361395023602952,0.031528810940442534
ais,0.48499521634174475,0.08113907947419925,0.04809034677453373
ait,0.2607048444088449,0.06484238938576686,0.03835255305936065
alawar,0.23636179732096763,0.06097807213806373,0.040222578206710075
alb,0.3888443758090337,0.0,0.2145314912001292
alconost,0.45027053248262205,0.09284401850612825,0.02775451037307305
alcor,0.4858993902802467,0.1937763348221778,0.0
alfred,0.1833090814045142,0.050711515628929664,0.05847322104107746
allcorrect,0.511296142423691,0.13603452110376624,0.02501231088586409
allianz,0.7110366821289062,0.131613457043256,0.0270589323980467
alser,0.6968524772673845,0.0901437543825522,0.0327465081572881
altair,0.22289221209968657,0.058256201012244525,0.018572928199135075
alter,0.341094529357074,0.08939663761310186,0.057361291191529995
alterego,0.4213758856058121,0.014901614747941475,0.0
altima,0.0,0.0,0.0
altspace,0.20265530214892516,0.045150057133513256,0.026908265859255265
alucard,0.43195760358167784,0.05904227816838642,0.037480928891006536
amai,0.23864655113882485,0.01178215609656435,0.11284139752388
amax,0.3032416033092886,0.0828443937934935,0.0
amazon,0.3066121062065365,0.08482019074879246,0.03551992388880228
ambience,0.23406058958230758,0.02344555205229202,0.050917464997263295
amiga,0.21685954841426927,0.05297666529491307,0.032282247614477254
amity,0.3274038286527342,0.07707002701357672,0.06499439650397706
ample,0.2922403785503573,0.05105400141069869,0.022343502535174267
amt,0.4115775958801287,0.07991155269126812,0.07138419005708378
an,0.21413454965979495,0.0511359902483299,0.03387696586463325
ancor,0.8035809235139327,0.0967685725878585,0.0
andersen,0.07989658878399357,0.03133844963732256,0.019894874414616973
angry,0.2246607154861747,0.057395622883034264,0.028305602514660376
ans,0.606321176199942,0.10064385592176596,0.10520559449133023
antilatency,0.0,0.0,0.0
anvi,0.6841659843921661,0.0126463624061822,0.0002027649316005
anvics,0.4523302614688874,0.0,0.0
anytime,0.23726943135261536,0.069828275591135,0.0573091350495815
apla,0.21329480103116497,0.054554092779918455,0.0040930896623611
aporia,0.0,0.0,0.0
appache,0.7925311401486397,0.0238398648798465,0.0218934603035449
apparat,0.0,0.0,0.0
appbooster,0.19482487504777568,0.06904690867773539,0.0121296868881064
applovin,0.5322977667805965,0.0843977700510934,0.027115466155558123
appodeal,0.32289094671458024,0.054869670648745816,0.03823910265268377
approve,0.7559785734523427,0.1459524622187018,0.0172281248325651
apptica,0.4411180331334509,0.09554072759459567,0.012846330555588162
aquarius,0.40336104332094436,0.09197893256149503,0.07795701964009913
ar,0.24887583534027038,0.06551508435034503,0.028388987788730502
arkadia,0.5857013329375713,0.1346385955394431,0.0657670419397098
arkadium,0.0,0.0,0.0
armi,0.0,0.0,0.0
arrival,0.25830030331937137,0.06828043214973586,0.036598229821871796
arzamas,0.4550805671542299,0.14821195597709017,0.03857397361128937
asap,0.018112135227761984,0.00417899796011567,0.0033701877836142123
