companies,neutral,negative,positive
acer,0.6028939070009425,0.1748343781927879,0.034743375872049564
action,0.6235700484859551,0.13784827248559436,0.07090111636234799
admitad,0.6490913683357104,0.14695895186569077,0.03860353162391544
aitarget,0.5769291309749379,0.1424522555487997,0.0353378922685378
badoo,0.6571312330512512,0.1359080746190654,0.028912776563954044
bitbanker,0.6263763467470805,0.1768557238082091,0.0153446674346923
boomstarter,0.599238903088881,0.14447042960104758,0.07613341716857461
bright,0.6094503934561065,0.1637754427882076,0.05283974418976896
chatfuel,0.6363357465182032,0.1860830899150598,0.0368883557551141
cloudpayments,0.6347805674315667,0.12777827712524603,0.0851860218727048
coub,0.6288164853927046,0.1338164226711611,0.08067685537628598
didi,0.6440210750638642,0.16401541911409423,0.04796120980621396
ebay,0.6091091992913793,0.14993601123306055,0.0419761156078881
epn,0.6831772755021635,0.1238349221606293,0.0067876039639763
eset,0.6273856675142293,0.13437210915927406,0.0301296886100326
facebook,0.6272504435645986,0.16807304026228953,0.043228732263306445
fbs,0.6098911641994036,0.17872383524611177,0.04505810406217758
fura,0.6125833884931513,0.18417662224396045,0.03841764384704717
geekbrains,0.0,0.0,0.0
generations,0.5831401596064353,0.12889692001872705,0.07420054558418705
gett,0.6131283057950712,0.17823954742902118,0.0383404280135325
globus,0.5418970433299554,0.2550944343405334,0.0312573206829803
heineken,0.6410937871498125,0.1763461979056371,0.03290284669508529
honor,0.6117886648602684,0.1602423413254537,0.04853215219262648
ibs,0.5609712401295409,0.1631363047396435,0.0405985103536616
infowatch,0.8583130717277527,0.0956878632307052,0.0
intel,0.6155153192617232,0.16751699140657494,0.04468814236422678
involta,0.5859320548623197,0.17529406216277926,0.046183195880952155
ivi,0.6313192565251043,0.16558716685027666,0.06663045084507113
ivideon,0.6407481437292248,0.18918761532720663,0.03456288960000255
jabra,0.515356073925968,0.16585043629452795,0.0501830534596211
joom,0.6733243382304972,0.19536051718885591,0.004801365961356456
kwork,0.6503876070713713,0.15049793419326477,0.027150623367301
lamoda,0.5929044139189675,0.11565119919466729,0.11536278568454353
leoni,0.0,0.0,0.0
lingualeo,0.6283007890862577,0.2062894963001942,0.0213627383825095
luxoft,0.7034979288963447,0.1983711078948572,0.010577582635153501
mail,0.6244244209339305,0.16547869714407287,0.04518279063098615
mail.ru,0.6393544690249625,0.16484819088739477,0.03999103222106906
meta,0.6210698900593734,0.17490527574361484,0.04077491370779604
metro,0.5973305257742801,0.15259820968212798,0.054235046827027254
microsoft,0.6304227223511245,0.15713313430907871,0.046913366180052776
mindbox,0.6298717445880174,0.1639306742112551,0.055388839984578705
okko,0.6158050766420841,0.15835163553238246,0.06195787503900378
oohdesk,0.6926519870758057,0.1824355274438858,0.0
ozon,0.5978215815971848,0.17477232482092364,0.045329744013054014
pixonic,0.6972670845484996,0.14551889781110686,0.0241251257930112
players,0.6011822165770445,0.10980524792510654,0.08112246843966113
pyrus,0.6027171611785889,0.1901318961689766,0.0538603182131838
qiwi,0.6271102237704178,0.15405314694874991,0.038711105610457215
qlik,0.0,0.0,0.0
revolut,0.5679158388310518,0.1923228039979661,0.03216158715709228
rita,0.675065487522562,0.23141245158963875,0.041079607812852255
selectel,0.6332431514897249,0.18521502002987292,0.029338192584356892
semrush,0.9213086366653442,0.1028412704666455,0.0
setters,0.5977978055061919,0.1520571143921004,0.0685917595401406
sigur,0.6713252274074101,0.08672936554077541,0.0698041315641708
simple,0.5906105045746677,0.18350699422058156,0.046970772697456115
skillbox,0.5812061671097809,0.15644671670931087,0.026413867665449425
skillfactory,0.3069820654888948,0.22183148310553705,0.01700510742763675
skyeng,0.6558270852648181,0.14905880378779415,0.04571701002662443
southbridge,0.0,0.0,0.0
sports.ru,0.4659794398716518,0.270282370703561,0.042032139641898
spotify,0.6192932485315061,0.1457900415317875,0.06151720947332012
surf,0.6068074541364503,0.1402686590947168,0.05230566380222908
talkbank,0.6806745782494545,0.1722334742546081,0.003623005375266
