companies,neutral,negative,positive
2гис,0.6461845081313864,0.1631194887552253,0.034199845503972225
a1,0.5922525948405736,0.1691877059686133,0.05374374919922336
abacus,0.6278164018935682,0.1313962238739033,0.08212713620362512
abbyy,0.5369257437125082,0.17710091086740076,0.025888050053546715
abi,0.7092537575738087,0.16485543065707403,0.043268169152239896
accenture,0.6138636085095689,0.20733428431736448,0.019430227443702243
acer,0.5859019462503866,0.16723288348875365,0.05061634383678541
acronis,0.586655612284911,0.12351575749613236,0.08726305782430675
adapter,0.6751892454412493,0.16050453960815533,0.03342746100100665
adfox,0.6817596607974598,0.16693309588091707,0.00778654013161675
adidas,0.5641614113990694,0.15136252339383238,0.07881114142713297
adindex,0.6574855401668637,0.16043837818475498,0.039903686520500366
admitad,0.6490913683357104,0.14695895186569077,0.03860353162391544
adobe,0.6270500302434321,0.13974620923812256,0.060030698818444604
adobe systems,0.6135633938675189,0.16677632853103552,0.11520546445264174
adv,0.6526280648946958,0.15737867933105637,0.0167205961121357
aero,0.6357695258593868,0.149499597312323,0.045172694117272816
agora,0.6373720747220913,0.1766560189925844,0.02343183719388058
airbnb,0.6241971567934202,0.1509038597651512,0.05038274397639575
airbus,0.6165938961180725,0.17627657959860363,0.04440843513936168
ais,0.5260783536074912,0.18633101845752956,0.08766938383602083
alibaba,0.6198960317076827,0.16730529022736104,0.034484235387785216
aliexpress,0.647387675865276,0.140642762582426,0.04074078856660646
allianz,0.6162344642307447,0.09230332795512206,0.0345917997365493
alpari,0.6685390547489468,0.18283954406771782,0.02166892212008382
alphas,0.6474175858040335,0.1714265291879653,0.03438605907220365
alpina digital,0.7211148888183136,0.1566408891085302,0.01174274143462145
alter,0.6181564521949121,0.18235062415528475,0.047076447205638375
altima,0.5823073419607689,0.14561118075313662,0.04767910581828896
altium,0.6229880406113153,0.1555355021342886,0.0651130351405381
altspace,0.566755311319951,0.23826464127832447,0.01607640758752385
amazon,0.616904404623391,0.16363449020604415,0.04885434982457261
amedia premium,0.5983955984609941,0.1681745003085958,0.060386860548523505
amgen,0.7946268618106842,0.0760554919640223,0.0144585991899172
