companies,commentsCount,hitsCount,likes
2гис,43.869565217391305,7266.95652173913,41.95652173913044
a1,35.62898814949863,7850.447584320875,85.08113035551504
abacus,19.714285714285715,7661.714285714285,35.285714285714285
abbyy,21.466666666666665,3470.6666666666665,29.866666666666667
abi,44.44444444444444,8299.222222222223,367.3333333333333
accenture,26.923076923076923,8333.538461538461,44.53846153846154
acer,28.357142857142858,5512.571428571428,34.82142857142857
acronis,33.1,14490.4,46.7
adapter,18.333333333333332,4358.0,28.666666666666668
adfox,13.0,4771.5,22.5
adidas,24.653225806451612,7958.451612903225,65.20161290322581
adindex,9.333333333333334,1340.111111111111,12.444444444444445
admitad,8.588235294117647,496.11764705882354,32.88235294117647
adobe,38.275862068965516,10130.78735632184,52.810344827586206
adobe systems,11.88888888888889,2901.0,58.77777777777778
adv,14.75,3648.5,57.0
aero,34.4375,3753.1875,21.4375
agora,36.0,9710.5,111.3
airbnb,29.235294117647058,8505.12834224599,55.27272727272727
airbus,20.072289156626507,5485.192771084337,79.25301204819277
ais,35.625,3765.25,59.5
alibaba,22.09933774834437,6606.490066225166,64.41059602649007
aliexpress,31.42105263157895,6916.736842105263,42.39473684210526
allianz,17.333333333333332,1558.3333333333333,51.666666666666664
alpari,25.0,1183.5714285714287,14.285714285714286
alphas,55.0,44815.0,45.5
alpina digital,67.0,4192.0,25.5
alter,20.818181818181817,2509.5454545454545,53.36363636363637
altima,13.571428571428571,6428.571428571428,31.142857142857142
altium,50.5,4867.5,138.5
altspace,7.454545454545454,1542.7272727272727,68.45454545454545
amazon,30.343825665859566,7386.707021791767,55.805488297013724
amedia premium,28.5,10114.0,46.5
amgen,1.5,21.0,4.0
anex tour,29.25,3864.0,103.625
anytime,19.75,4938.0,25.0
apple,37.70950996677741,7787.376868770764,43.61420265780731
arzamas,20.071428571428573,3471.8571428571427,22.571428571428573
astra linux,70.5,9238.0,41.0
atlantis,37.4,9459.2,39.8
attl,27.818181818181817,16290.272727272728,488.1818181818182
author.today,8.363636363636363,3611.181818181818,329.0
autodesk,20.5625,3767.125,47.75
avenue,38.88235294117647,9553.117647058823,52.11764705882353
avid,41.5,31850.5,25.0
awg,22.428571428571427,4810.428571428572,14.714285714285714
axel,8.714285714285714,8058.714285714285,26.571428571428573
axon,52.8,8756.2,37.6
b9,32.334496293065854,7738.627562145661,110.82555604012211
babo,63.5,10436.666666666666,22.666666666666668
background,87.25,12997.25,54.0
badoo,52.09090909090909,20107.333333333332,44.21212121212121
baza,66.59502664298401,11082.596802841917,122.71403197158082
bbc,18.254742547425476,5007.029810298103,32.36585365853659
bcc,53.09090909090909,12669.0,43.54545454545455
bcg,35.72727272727273,2716.0,21.636363636363637
beau,23.333333333333332,6805.833333333333,41.0
beeline,36.0,8758.909871244636,43.99570815450644
begun,41.2,10677.6,58.0
better than,18.833333333333332,2903.6666666666665,24.5
betting insider,24.25,2850.75,15.0
betty,19.25,9126.5,51.125
bi.zone,77.66666666666667,10076.444444444445,73.44444444444444
billa,79.25,5451.5,32.0
binance,20.377777777777776,3692.288888888889,24.244444444444444
biogen,6.333333333333333,2673.0,61.0
black star,50.15555555555556,23122.755555555555,51.44444444444444
blizzard,36.48809523809524,7921.607142857143,33.583333333333336
bloomberg,37.00232018561485,7782.30162412993,56.70997679814385
bloomie,0.0,10.0,0.5
boeing,32.54892601431981,7260.828162291169,58.85202863961814
bookmate,29.863636363636363,6076.136363636364,31.90909090909091
boomstarter,19.56756756756757,4885.2972972972975,19.83783783783784
bork,37.5,8274.25,29.25
bosch,21.59090909090909,5684.090909090909,35.54545454545455
boston dynamics,22.654545454545456,5284.063636363637,48.63636363636363
bp,29.940594059405942,9412.990099009901,93.43564356435644
bqw,73.5,13804.0,52.833333333333336
brick,12.870967741935484,4306.193548387097,84.90322580645162
bright,50.63636363636363,9580.0,27.181818181818183
broccoli,6.2,1559.4,21.6
buro,38.55555555555556,12770.0,42.0
cainiao network,29.0,2644.0,56.5
canon,22.11111111111111,7557.37037037037,42.48148148148148
carprice,46.5,15730.5,37.5
cbre,9.6,714.8,13.0
cbs,32.54761904761905,10160.204761904763,68.3
cheil,41.0,49180.166666666664,34.5
chevron,34.2,11200.0,87.4
chosen,22.0,4467.0,44.333333333333336
chronopay,21.333333333333332,14045.333333333334,42.333333333333336
cisco,24.52173913043478,5250.021739130435,70.08695652173913
citadel,20.5,6209.833333333333,79.83333333333333
clain,73.8,13145.6,72.4
clc,44.25,5861.75,93.25
clipper,30.444444444444443,7098.111111111111,60.44444444444444
clos,5.333333333333333,2444.5,88.0
cloudpayments,41.0,33092.0,79.0
cnn,37.22405660377358,7787.168632075472,74.54009433962264
coca-cola,22.892086330935253,7059.482014388489,65.12230215827338
cognitive pilot,29.333333333333332,1231.6666666666667,17.666666666666668
cognitive technologies,14.5,1721.25,15.25
colgate-palmolive,15.25,7564.25,33.5
colliers international,2.3333333333333335,209.0,13.333333333333334
columbia pictures,13.333333333333334,3676.0,20.0
constanta,15.666666666666666,4088.0,57.666666666666664
coral travel,3.5,3322.0,12.5
cortex,43.90909090909091,16004.09090909091,50.0
coub,29.21518987341772,8705.417721518987,43.21518987341772
crm,20.609756097560975,2788.878048780488,44.58536585365854
cstore,49.0,16891.5,32.5
cti,67.81818181818181,11216.363636363636,302.54545454545456
cyanogen,9.0,1928.85,15.8
daily mail,32.298449612403104,15035.589147286822,60.08139534883721
daily storm,52.114285714285714,15198.8,54.614285714285714
danone,29.5,5760.611111111111,35.888888888888886
dapp,37.333333333333336,221735.33333333334,192.0
dbi,34.25,5372.75,55.0
delivery club,48.74285714285714,9309.8,51.16
deloitte,40.63157894736842,4266.263157894737,18.05263157894737
denim,18.666666666666668,5443.666666666667,9.666666666666666
depositphotos,6.666666666666667,1197.7777777777778,122.0
deutsche bank,17.869565217391305,4957.434782608696,57.78260869565217
dialog,23.428571428571427,4929.428571428572,24.142857142857142
diamond,35.07142857142857,9361.190476190477,38.285714285714285
dice,22.5,5503.75,20.375
didi,34.53846153846154,10549.23076923077,43.38461538461539
