companies,neutral,negative,positive
2leads,0.0,0.0,0.0
2гис,0.3219882471742221,0.06814203777564656,0.027087737564933222
acer,0.3876593462296238,0.09085026537489589,0.02570756788404149
action,0.29858053448156435,0.0566223522327145,0.030513771180445876
admitad,0.2683970177940659,0.052505132473730634,0.024794196562051382
adv.cake,0.44990642653841645,0.07016712884668536,0.019469694726948383
aidata,0.6062258716748685,0.04411060377499277,0.006718707434376872
aitarget,0.44655973162453894,0.06642845663388286,0.030404777911281683
alconost,0.34657365499241727,0.047509927900641714,0.0214201679220423
apalon,0.3269593656695688,0.07549383630281062,0.033836446279655596
artsofte,0.35155872295754786,0.08248381861048129,0.046375359552122075
azoft,0.24457782886830376,0.043862040244318806,0.005149323079321116
azur games,0.1267215646830257,0.018620679767586433,0.04907615146706774
badoo,0.3936907222721735,0.07672475912148181,0.03717983540605421
bercut,0.26073053183590045,0.05633800081613085,0.028131280875176527
bestdoctor,0.40063580498099327,0.0780808515846729,0.0
bilderlings,0.4314574155652965,0.06316342086565714,0.01777272129138172
bitbanker,0.4515701085329056,0.03425747528672215,0.0
black snowflake,0.9046605229377748,0.0,0.0
booking.com,0.6183945597662058,0.11830644823322756,0.033118944543756954
boomstarter,0.2964720197930789,0.058119812933529545,0.044948530752346845
bright,0.46869621312466897,0.09900187468941951,0.026171722084408825
briskly,0.384489184134446,0.08803884967179673,0.073583811564839
budu,0.3401864113715979,0.09231343335257125,0.00255719686929995
buzko krasnov,0.0760385192950342,0.017672527344587498,0.0030320502158233125
cainiao network,0.28103126027163855,0.08363093404320772,0.011303620741373177
calltouch,0.3109729777508773,0.056378020964908064,0.027193920863350873
cambly,0.09097945457104735,0.017586943144338,0.006284586275674172
chatfuel,0.39294057565306073,0.07521554352955208,0.04178335194358888
checkaso,0.2586191297762499,0.051307302675971174,0.06239929986266273
cleverdata,0.8664233386516571,0.0770496297627687,0.0
cloudpayments,0.31463356816392174,0.05062907198607908,0.017902766184072206
comagic,0.34749144349291716,0.049543202509557245,0.021316542783663187
coub,0.381403915339365,0.06552564294242703,0.023872251268524495
credit.club,0.41269145737091706,0.030600033827401965,0.099193291399214
csssr,0.28742645064023675,0.07588131712587418,0.028105759870102
dentsu russia,0.153731944559044,0.01527701791673551,0.00545068624707167
devim,0.47062384419971043,0.02747040573093623,0.0358646429247326
didi,0.515227040345464,0.11643414494860063,0.02839212838613263
digital horizon,0.2645208110262419,0.06294547294849033,0.026952463410090263
digital security,0.42296949743712287,0.06843757124523173,0.00861823498760121
digital strategy,0.503168387501131,0.11969073947282535,0.020169474290949927
dins,0.10145393794491175,0.029870387408640474,0.011544245404082455
docsinbox,0.463092403486371,0.1244928769767284,0.1249953120946884
dodo pizza,0.2965756258039151,0.06924255100925467,0.023914317536527903
ebay,0.3674620912743733,0.07471818175562328,0.031658798773320555
ecommpay,0.3958320434452591,0.08614802928160002,0.00829816594812851
embacy,0.1553792031823265,0.030868533186640436,0.02334080101188806
epn,0.25067241392828327,0.0414674019492884,0.03547105942626256
eset,0.3746023920701398,0.07665806968042792,0.022036339434353385
evrone,0.18151707493759944,0.03313058628588317,0.030076810363510422
exness,0.10630402352633578,0.018643394779303657,0.008325684993203152
extyl,0.10855472820437455,0.020910348958517094,0.007464484301258474
faceapp,0.24125111253488632,0.04856558587388244,0.013217109626247761
fbs,0.30731997067859956,0.0745194571946077,0.012143323946302275
flowwow,0.32240649861904314,0.05178994400742573,0.032606584961397345
friflex,0.23707934936677588,0.04329413463902462,0.03616843905505915
fura,0.19152739620165962,0.0500113383014248,0.0115300048570456
